Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_std;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p;V_i;V_f;File
34.0;2017-09-18 14:52:24;45.51391344;-73.65898292;0;27.0;98.68189672777778;13.15758623037037;16.60654282;13.15758623037037;1.0;1.0;0.0;2.4013059725354657;0.08423799291666668;-0.019236861507936565;0.060305849479647476;0.006798142804480466;0.0;0.3333333333333333;0.0;0.6666666666666666;0.0;10.85650211;16.58449693;50150
35.0;2017-09-18 14:52:51;45.51099335;-73.66083274;0;31.0;102.94110604722222;11.95445102483871;16.50254256;11.95445102483871;1.0;1.0;0.0;2.5082347180102427;0.08184998481481481;-0.11112360941520467;0.10791010184770189;0.012595677107019202;0.0;0.12903225806451613;0.0;0.5161290322580645;0.3548387096774194;16.50254256;12.51956139;50150
36.0;2017-09-18 14:53:22;45.50794784;-73.66276291;0;24.0;100.26757475277778;15.040136212916666;16.67958978;15.040136212916666;1.0;1.0;0.0;1.1523545076418362;0.04814847673611112;0.0;0.01683019584650586;0.0025897289920632544;0.0;0.0;0.0;1.0;0.0;12.81171861;16.67958978;50150
37.0;2017-09-18 14:53:46;45.5049727;-73.66461021;0;30.0;98.39363307972222;11.807235969566667;16.59904695;11.807235969566667;1.0;1.0;0.0;2.591484670423729;0.031237482222222248;-0.09695405800925927;0.09076792689303434;0.013050125526823771;0.0;0.03333333333333333;0.0;0.6666666666666666;0.3;16.59904695;8.977488784;50150
38.0;2017-09-18 14:54:16;45.50243789;-73.66461349;0;28.0;99.92686493777778;12.847739777714285;17.52700955;12.847739777714285;1.0;1.0;0.0;2.545751277110421;0.084816674265873;0.0;0.020488322872001308;0.0075986477728410265;0.0;0.25;0.0;0.75;0.0;9.090587136;17.52700955;50150
39.0;2017-09-18 14:54:44;45.49987187;-73.66182775;0;17.0;99.09179381944443;20.98414457352941;23.13481199;20.98414457352941;1.0;1.0;0.0;1.618183881027963;0.09163075882352942;0.0;0.029836189826008948;0.009234029584536887;0.0;0.4117647058823529;0.5882352941176471;0.0;0.0;17.97958151;23.13481199;50150
40.0;2017-09-18 14:55:01;45.4976985;-73.65846931;0;15.0;101.48464790833333;24.356315498;24.7230729;24.356315498;1.0;1.0;0.0;0.4356681683379503;0.04010759873737371;-0.014998763194444327;0.03311981654094821;0.0016695927553915199;0.0;0.0;1.0;0.0;0.0;23.38627176;24.50709071;50150
41.0;2017-09-18 14:55:16;45.49549933;-73.65498899;0;19.0;99.90315679444444;18.929019182105264;24.27561202;18.929019182105264;1.0;1.0;0.0;3.588836761065665;0.0;-0.1621901198830409;0.04155671636426632;0.027941702995551054;0.0;0.0;0.10526315789473684;0.0;0.8947368421052632;24.27561202;13.41328651;50150
42.0;2017-09-18 14:55:35;45.49343305;-73.65146602;0;31.0;100.36306066638889;11.655065109645161;13.42999232;11.655065109645161;1.0;1.0;0.0;2.2159742436136884;0.012049534375000016;-0.08698185678743962;0.06373718943272555;0.007704459135313208;0.0;0.0;0.0;0.5483870967741935;0.45161290322580644;13.19883771;6.558215358;50150
43.0;2017-09-18 14:56:06;45.49179556;-73.64746964;0;34.0;100.52071290388889;10.643369601588235;15.63566264;10.643369601588235;1.0;1.0;0.0;3.508523360771223;0.09509581457407407;-0.08284032583333335;0.06901224302857734;0.010122635219831755;0.0;0.4117647058823529;0.0;0.5294117647058824;0.058823529411764705;6.012473709;15.63566264;50150
44.0;2017-09-18 14:56:40;45.49008426;-73.64354365;0;24.0;97.70480968055556;14.655721452083334;15.69727261;14.655721452083334;1.0;1.0;0.0;1.0194337057585687;0.005704626851851945;-0.03953759298941799;0.024118416988003436;0.001705471924025902;0.0;0.0;0.0;1.0;0.0;15.6699442;12.70823058;50150
45.0;2017-09-18 14:57:04;45.48836432;-73.63975766;0;25.0;99.35696903611111;14.307403541200001;18.73862498;14.307403541200001;1.0;1.0;0.0;2.3599560422139274;0.09720649263888889;-0.05380405944444444;0.07279917315137317;0.00957731806404432;0.0;0.44;0.0;0.56;0.0;12.4586616;18.73862498;50150
46.0;2017-09-18 14:57:29;45.48663463;-73.63590067;0;17.0;98.78418445555556;20.919003767058825;21.93070815;20.919003767058825;1.0;1.0;0.0;0.7394562189137169;0.055656426215277735;-0.003813049999999368;0.042495208990770285;0.0044200968351123734;0.0;0.17647058823529413;0.8235294117647058;0.0;0.0;19.20106068;21.93070815;50150
47.0;2017-09-18 14:57:46;45.48493929;-73.63203609;0;17.0;101.46557866388889;21.486828422941176;22.09023134;21.486828422941176;1.0;1.0;0.0;0.6041800074196829;0.014018124999999968;-0.036700357175925916;0.03001846813860402;0.0013226079598586697;0.0;0.0;1.0;0.0;0.0;22.00130822;20.59757897;50150
48.0;2017-09-18 14:58:03;45.48316397;-73.62809433;0;5.0;30.170973905555556;21.723101212;22.55917222;21.723101212;1.0;1.0;0.0;0.71458458863522;0.10897740277777776;0.0;0.037395571986111466;0.012994817359524763;0.0;0.6;0.4;0.0;0.0;20.83028312;22.55917222;50150
